,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
100,Moctezuma,29.8,-109.67,84.16,12,59,23.62,MX
101,Korla,41.76,86.15,59.68,39,49,12.01,CN
102,Belaya Gora,68.53,146.42,-10.52,89,98,7.49,RU
103,Krasnoarmeysk,51.02,45.7,39.02,72,36,10.2,RU
104,Saint-Augustin,51.23,-58.65,29.16,93,100,10.31,CA
105,Hong Kong,22.29,114.16,73,78,100,4,HK
106,Qaanaaq,77.48,-69.36,17.87,85,0,0.72,GL
107,Hithadhoo,-0.6,73.08,83.91,76,69,7.56,MV
108,Gondanglegi,-7.75,112.01,75.24,88,92,0.51,ID
109,Esperance,-33.87,121.9,57.2,76,74,17.22,AU
110,Chiang Khong,20.26,100.4,77,83,96,3.36,TH
111,Buluang,13.31,123.34,77.41,87,2,6.73,PH
112,Provideniya,64.38,-173.3,29.07,96,100,17.16,RU
113,Naze,28.37,129.48,69.8,83,75,12.75,JP
114,San Cristobal,7.77,-72.22,87.8,52,40,6.93,VE
115,Port Alfred,-33.59,26.89,64,91,11,4,ZA
116,Katsuura,35.13,140.3,59,87,75,11.41,JP
117,Barrow,71.29,-156.79,10.4,85,90,17.22,US
118,Tete,-16.16,33.59,86,58,4,13.87,MZ
119,Hinton,53.4,-117.59,39.25,63,100,2.77,CA
120,Atherton,53.52,-2.49,48.99,62,75,7,GB
121,Agua Dulce,18.13,-94.13,89.6,66,40,11.41,MX
122,Portland,45.52,-122.68,73,22,20,5.82,US
123,Krasnyy Chikoy,50.36,108.75,40.46,63,92,5.7,RU
124,Cidreira,-30.18,-50.21,67.21,80,24,9.31,BR
125,Flinders,-34.58,150.86,57.99,63,0,8.99,AU
126,Jarabacoa,19.12,-70.64,90,49,20,6.93,DO
127,Marsabit,2.33,37.99,71.04,59,99,12.37,KE
128,Dingle,11,122.67,79.48,81,10,7.02,PH
129,Quatre Cocos,-20.21,57.76,77,78,75,6.93,MU
130,Nikolskoye,59.7,30.79,37.4,86,75,17.9,RU
131,Lakes Entrance,-37.88,147.98,37,91,76,20.18,AU
132,Castro,-24.79,-50.01,59.67,49,0,2.33,BR
133,San Quintín,30.48,-115.95,63.9,64,31,13.69,MX
134,Potchefstroom,-26.72,27.1,57.51,24,0,3.85,ZA
135,Marawi,8,124.29,65.64,65,2,4.41,PH
136,Pilot Butte,50.47,-104.42,57.2,22,90,17.22,CA
137,Pangnirtung,66.15,-65.71,6.8,77,90,12.75,CA
138,Airai,-8.93,125.41,61.25,73,46,2.35,TL
139,Port Elizabeth,-33.92,25.57,60.8,93,61,5.82,ZA
140,Upernavik,72.79,-56.15,24.67,90,0,2.24,GL
141,Saint-Philippe,-21.36,55.77,77,73,15,17.22,RE
142,Artyom,40.47,50.33,51.8,87,0,13.87,AZ
143,Flin Flon,54.77,-101.86,46.4,39,90,12.75,CA
144,Olafsvik,64.89,-23.71,42.49,85,97,25.5,IS
145,Danshui,22.8,114.47,73.99,100,100,2.62,CN
146,Touros,-5.2,-35.46,84.2,79,40,12.75,BR
147,Kruisfontein,-34,24.73,59.94,83,90,3.96,ZA
148,Meulaboh,4.14,96.13,78.82,82,100,5.26,ID
149,Catuday,16.29,119.81,79.11,79,96,4.7,PH
150,Avarua,-21.21,-159.78,80.6,74,54,4.7,CK
151,Kumul,42.8,93.45,59.05,24,2,7.31,CN
152,Tasiilaq,65.61,-37.64,35.65,92,100,27.56,GL
153,São João da Barra,-21.64,-41.05,77,65,26,14.99,BR
154,Sistranda,63.73,8.83,41,60,75,14.99,NO
155,Antropovo,58.4,43.01,33.44,91,100,6.58,RU
156,Santa Ana,33.75,-117.87,68,48,75,11.41,US
157,Dudinka,69.41,86.18,26.6,79,100,24.61,RU
158,Saryg-Sep,51.5,95.6,33.75,59,92,2.19,RU
159,Parakou,9.34,2.63,87.53,48,44,8.86,BJ
160,Bereda,43.27,-7.54,55,86,1,3,ES
161,Alcañiz,41.05,-0.13,57,92,100,5.44,ES
162,Menongue,-14.66,17.69,67.05,50,74,4.45,AO
163,Māngrol,21.12,70.12,79.99,62,0,11.23,IN
164,Taft,31.75,54.21,57.2,71,40,2.24,IR
165,Longyearbyen,78.22,15.64,33.8,69,75,2.24,SJ
166,Muzhi,65.37,64.67,32.25,96,68,10.54,RU
167,Bratsk,56.13,101.61,33.8,80,56,6.71,RU
